번호,종목코드,종목명,업종코드,업종명,상장주식수,자본금
603,300120,라온피플,105802,소프트웨어 개발 및 공급업,10497456,5248728000
604,50120,라이브플렉스,74604,생활용품 도매업,13564086,69092013500
605,171120,라이온켐텍,32004,기타 화학제품 제조업,18893576,9446788000
606,69540,라이트론,32604,통신 및 방송 장비 제조업,23174379,11587189500
607,285770,라이프사이언스테크놀로지,105802,소프트웨어 개발 및 공급업,3545380,1772690000
608,214260,라파스,32004,기타 화학제품 제조업,8417916,4208958000
609,115390,락앤락,32202,플라스틱제품 제조업,53007638,27500000000
610,200350,래몽래인,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",4988519,2494259500
611,171010,램테크놀러지,32001,기초 화학물질 제조업,11606968,5803484000
612,84650,랩지노믹스,137001,자연과학 및 공학 연구개발업,11450097,5725048500
613,217500,러셀,32902,특수 목적용 기계 제조업,31812000,3181200000
614,92590,럭스피아,32601,반도체 제조업,7291098,3645549000
615,33600,럭슬,33003,자동차 신품 부품 제조업,52828103,26414051500
616,141080,레고켐바이오,137001,자연과학 및 공학 연구개발업,24115838,12057919000
617,60300,레드로버,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",26648071,13324035500
618,38390,레드캡투어,147502,여행사 및 기타 여행보조 서비스업,8589480,4294740000
619,294140,레몬,32005,화학섬유 제조업,34500000,17250000000
620,228670,레이,32701,의료용 기기 제조업,6653267,3326633500
621,228850,레이언스,32701,의료용 기기 제조업,16591014,8295507000
622,281740,레이크머티리얼즈,32004,기타 화학제품 제조업,65730548,6573054800
623,277810,레인보우로보틱스,32902,특수 목적용 기계 제조업,15584500,7792250000
624,215100,로보로보,32809,기타 전기장비 제조업,17798454,1779845400
625,90360,로보스타,32902,특수 목적용 기계 제조업,9750000,4875000000
626,238500,로보쓰리,137309,"그외 기타 전문, 과학 및 기술 서비스업",4682166,2341083000
627,108490,로보티즈,32902,특수 목적용 기계 제조업,11251000,5625500000
628,900260,로스웰,116409,기타 금융업,141781250,43617265221
629,67730,로지시스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",9340922,4670461000
630,71280,로체시스템즈,32902,특수 목적용 기계 제조업,15296603,7648301500
631,32350,롯데관광개발,147502,여행사 및 기타 여행보조 서비스업,69275662,34637831000
632,330590,롯데리츠,126801,부동산 임대 및 공급업,171968884,85984442000
633,400,롯데손해보험,116501,보험업,310336320,3.10336E+11
634,23530,롯데쇼핑,74701,종합 소매업,28288755,1.41444E+11
635,4000,롯데정밀화학,32001,기초 화학물질 제조업,25800000,1.29E+11
636,286940,롯데정보통신,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",15396331,76981655000
637,280360,롯데제과,31007,기타 식품 제조업,6416717,3208358500
638,4990,롯데지주,116409,기타 금융업,104909237,21179372000
639,5300,롯데칠성,31102,비알코올음료 및 얼음 제조업,8975123,4875216500
640,11170,롯데케미칼,32001,기초 화학물질 제조업,34275419,1.71377E+11
641,2270,롯데푸드,31005,낙농제품 및 식용빙과류 제조업,1131870,5659350000
642,71840,롯데하이마트,74703,가전제품 및 정보통신장비 소매업,23607712,1.18039E+11
643,38060,루멘스,32601,반도체 제조업,48103069,24051534500
644,162120,루켄테크놀러지스,32809,기타 전기장비 제조업,9233468,4616734000
645,253610,루트락,74607,기타 전문 도매업,7486011,3743005500
646,85370,루트로닉,32701,의료용 기기 제조업,25754466,13194601500
647,60240,룽투코리아,105802,소프트웨어 개발 및 공급업,25429284,13064642000
648,58470,리노공업,32602,전자부품 제조업,15242370,7621185000
649,39980,리노스,74704,"섬유, 의복, 신발 및 가죽제품 소매업",41540606,20770303000
650,19570,리더스 기술투자,116402,신탁업 및 집합투자업,95888652,47944326000
651,16100,리더스코스메틱,32004,기타 화학제품 제조업,18374829,9187414500
652,12700,리드코프,74607,기타 전문 도매업,26446135,13777741000
653,302550,리메드,32701,의료용 기기 제조업,6088916,3044458000
654,29480,릭스솔루션,32604,통신 및 방송 장비 제조업,79665776,7966577600
655,277070,린드먼아시아,116402,신탁업 및 집합투자업,13500000,6750000000
656,42500,링네트,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",15216878,7608439000
657,219420,링크제니시스,105802,소프트웨어 개발 및 공급업,10000000,1000000000
658,27740,마니커,31001,"도축, 육류 가공 및 저장 처리업",198472594,99236297000
659,195500,마니커에프앤지,31001,"도축, 육류 가공 및 저장 처리업",10768000,5384000000
660,222810,마이더스AI,105802,소프트웨어 개발 및 공급업,120052271,12005227100
661,305090,마이크로디지탈,32701,의료용 기기 제조업,7261600,3630800000
662,98120,마이크로컨텍솔,32602,전자부품 제조업,8312766,4156383000
663,147760,마이크로프랜드,32702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",10819866,5409933000
664,38290,마크로젠,137309,"그외 기타 전문, 과학 및 기술 서비스업",10631654,5315827000
665,204320,만도,33003,자동차 신품 부품 제조업,46957120,46957120000
666,1080,만호제강,32401,1차 철강 제조업,4150000,4150000000
667,267980,매일유업,31005,낙농제품 및 식용빙과류 제조업,7843638,3921819000
668,5990,매일홀딩스,31005,낙농제품 및 식용빙과류 제조업,13718304,6859152000
669,127160,매직마이크로,32602,전자부품 제조업,80909216,8090921600
670,93520,매커스,74605,기계장비 및 관련 물품 도매업,16163092,8081546000
671,141070,맥스로텍,32902,특수 목적용 기계 제조업,35895350,17947675000
672,88980,맥쿼리인프라,116402,신탁업 및 집합투자업,372192485,2.05752E+12
673,94800,맵스리얼티1,116402,신탁업 및 집합투자업,92834331,4.64172E+11
674,100590,머큐리,32604,통신 및 방송 장비 제조업,14763600,7381800000
675,67280,멀티캠퍼스,168506,기타 교육기관,5926779,2963389500
676,72870,메가스터디,105801,"서적, 잡지 및 기타 인쇄물 출판업",11920959,5960479500
677,215200,메가스터디교육,168505,일반 교습 학원,11845380,1184538000
678,133750,메가엠디,168505,일반 교습 학원,23407077,11703538500
679,235980,메드팩토,137001,자연과학 및 공학 연구개발업,20372842,10186421000
680,200580,메디쎄이,32701,의료용 기기 제조업,3478159,1739079500
681,41920,메디아나,32701,의료용 기기 제조업,8650496,4325248000
682,233250,메디안디노스틱,32103,의료용품 및 기타 의약 관련제품 제조업,1746534,1083767000
683,14100,메디앙스,32004,기타 화학제품 제조업,11800000,5900000000
684,236340,메디젠휴먼케어,137001,자연과학 및 공학 연구개발업,2405381,1202690500
685,54180,메디콕스,33101,선박 및 보트 건조업,43760276,21880138000
686,86900,메디톡스,32101,기초 의약물질 및 생물학적 제제 제조업,5977449,2988724500
687,78160,메디포스트,32101,기초 의약물질 및 생물학적 제제 제조업,15617842,7808921000
688,65650,메디프론,74605,기계장비 및 관련 물품 도매업,37199870,18599935000
689,138040,메리츠금융지주,116409,기타 금융업,134011294,71442909000
690,8560,메리츠증권,116601,금융 지원 서비스업,675961727,6.75962E+11
691,60,메리츠화재,116501,보험업,120625000,60312500000
692,21880,메이슨캐피탈,116409,기타 금융업,99184408,49592204000
693,140410,메지온,137001,자연과학 및 공학 연구개발업,8892706,4446353000
694,241770,메카로,32004,기타 화학제품 제조업,10102240,5301120000
695,90370,메타랩스,31401,봉제의복 제조업,63689937,31844968500
696,59210,메타바이오메드,32103,의료용품 및 기타 의약 관련제품 제조업,23862351,11931175500
697,327260,메탈라이프,32602,전자부품 제조업,3596588,1798294000
698,58110,멕아이씨에스,32701,의료용 기기 제조업,6989265,3494632500
699,96640,멜파스,32602,전자부품 제조업,33853229,16926614500
700,17180,명문제약,32102,의약품 제조업,33953454,16976727000
701,257370,명성티엔에스,32902,특수 목적용 기계 제조업,6440809,3220404500
702,9900,명신산업,33003,자동차 신품 부품 제조업,40779120,20389560000
703,267060,명진홀딩스,31002,수산물 가공 및 저장 처리업,8812359,4406179500
704,12690,모나리자,31709,기타 종이 및 판지 제품 제조업,36571255,18885627500
705,5360,모나미,74604,생활용품 도매업,18897307,18897307000
706,80420,모다이노칩,74704,"섬유, 의복, 신발 및 가죽제품 소매업",79721622,39860811000
707,80160,모두투어,147502,여행사 및 기타 여행보조 서비스업,18900000,9450000000
708,204210,모두투어리츠,126801,부동산 임대 및 공급업,7826815,39134075000
709,100030,모바일리더,105802,소프트웨어 개발 및 공급업,3283714,1641857000
710,87260,모바일어플라이언스,105802,소프트웨어 개발 및 공급업,32462446,16231223000
711,101330,모베이스,32604,통신 및 방송 장비 제조업,23958188,11979094000
712,12860,모베이스전자,33003,자동차 신품 부품 제조업,54476780,27238390000
713,348030,모비릭스,105802,소프트웨어 개발 및 공급업,9279000,927900000
714,250060,모비스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",32171314,3217131400
715,33200,모아텍,32602,전자부품 제조업,14331185,7665592500
716,9680,모토닉,33003,자동차 신품 부품 제조업,33000000,16500000000
717,118990,모트렉스,33003,자동차 신품 부품 제조업,39001039,3900103900
718,6920,모헨즈,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업",10920000,5460000000
719,9580,무림P&P,31701,"펄프, 종이 및 판지 제조업",62368324,1.55921E+11
720,1810,무림SP,31701,"펄프, 종이 및 판지 제조업",22137500,11068750000
721,9200,무림페이퍼,31701,"펄프, 종이 및 판지 제조업",41609310,1.04023E+11
722,322970,무진메디,137001,자연과학 및 공학 연구개발업,6743378,3371689000
723,33920,무학,31101,알코올음료 제조업,28500000,5700000000
724,8420,문배철강,32401,1차 철강 제조업,20503505,10251752500
725,279600,미디어젠,105802,소프트웨어 개발 및 공급업,4638281,2319140500
726,28040,미래SCI,74601,상품 중개업,44979502,22489751000
727,95500,미래나노텍,32202,플라스틱제품 제조업,25941869,12970934500
728,25560,미래산업,32702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",18662929,1866292900
729,218150,미래생명자원,31008,동물용 사료 및 조제식품 제조업,18671428,1867142800
730,7120,미래아이앤지,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",129484148,12948414800
731,6800,미래에셋대우,116601,금융 지원 서비스업,645316408,4.10196E+12
732,353490,미래에셋대우스팩 5호,116601,금융 지원 서비스업,5060000,506000000
733,328380,미래에셋대우스팩3호,116601,금융 지원 서비스업,6482000,648200000
734,333430,미래에셋대우스팩4호,116601,금융 지원 서비스업,4390000,439000000
735,357250,미래에셋맵스리츠,126801,부동산 임대 및 공급업,20100000,20100000000
736,100790,미래에셋벤처투자,116409,기타 금융업,46000823,46500823000
737,85620,미래에셋생명,116501,보험업,177016189,8.85081E+11
738,208890,미래엔에듀파트너,168507,교육지원 서비스업,3150820,3150820000
739,49950,미래컴퍼니,32902,특수 목적용 기계 제조업,8362306,4181153000
740,213090,미래테크놀로지,105802,소프트웨어 개발 및 공급업,6120788,3060394000
741,207760,미스터블루,106309,기타 정보 서비스업,24761635,2476163500
742,225850,미애부,74604,생활용품 도매업,3332333,1666166500
743,2840,미원상사,32004,기타 화학제품 제조업,4970000,6661780000
744,268280,미원에스씨,32001,기초 화학물질 제조업,5100000,2633945500
745,107590,미원홀딩스,116409,기타 금융업,2320000,1315887000
746,134380,미원화학,32004,기타 화학제품 제조업,2199268,2404080000
747,3650,미창석유,31902,석유 정제품 제조업,1739672,8698360000
748,59090,미코,32601,반도체 제조업,31316603,15658301500
749,214610,미코바이오메드,32701,의료용 기기 제조업,18183761,9091880500
750,201490,미투온,105802,소프트웨어 개발 및 공급업,31257770,15628885000
751,950190,미투젠,105802,소프트웨어 개발 및 공급업,13452425,0
752,214180,민앤지,106309,기타 정보 서비스업,12362476,6341238000
753,155900,바다로19호,147601,운송장비 임대업,15200004,76000020000
754,206640,바디텍메드,32103,의료용품 및 기타 의약 관련제품 제조업,23486560,23486560000
755,18700,바른손,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",29471487,29471487000
756,35620,바른손이앤에이,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",73488503,36744251500
757,64520,바른전자,32601,반도체 제조업,73686477,36843238500
758,53030,바이넥스,32102,의약품 제조업,31751048,15875524000
759,301300,바이브컴퍼니,105802,소프트웨어 개발 및 공급업,5394170,2697085000
760,64550,바이오니아,32103,의료용품 및 기타 의약 관련제품 제조업,25132038,12566019000
761,208710,바이오로그디바이스,32602,전자부품 제조업,28870357,2887035700
762,142760,바이오리더스,137001,자연과학 및 공학 연구개발업,27412216,13706108000
763,86820,바이오솔루션,32101,기초 의약물질 및 생물학적 제제 제조업,8091426,4045713000
764,38460,바이오스마트,32602,전자부품 제조업,20087800,10043900000
765,281310,바이오시네틱스,137001,자연과학 및 공학 연구개발업,2634890,1317445000
766,266470,바이오인프라생명과학,137001,자연과학 및 공학 연구개발업,14106847,7053423500
767,216400,바이오코아,137001,자연과학 및 공학 연구개발업,7711315,3855657500
768,86040,바이오톡스텍,137001,자연과학 및 공학 연구개발업,14625123,7312561500
769,199290,바이오프로테크,32701,의료용 기기 제조업,3266800,1633400000
770,32980,바이온,74603,음·식료품 및 담배 도매업,62785551,31392775500
771,222160,바이옵트로,32702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",5637326,2818663000
772,43150,바텍,32701,의료용 기기 제조업,14854256,7427128000
773,323990,박셀바이오,137001,자연과학 및 공학 연구개발업,15046000,7523000000
774,3610,방림,31302,직물직조 및 직물제품 제조업,42314090,21157045000
775,267790,배럴,31401,봉제의복 제조업,7885500,3942750000
776,1340,백광산업,32001,기초 화학물질 제조업,44918407,22459203500
777,46310,백금T&A,32604,통신 및 방송 장비 제조업,16418641,8209320500
778,35150,백산,32202,플라스틱제품 제조업,24200000,14000000000
779,36620,버추얼텍,74607,기타 전문 도매업,69111364,34555682000
780,66410,버킷스튜디오,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",34941142,17470571000
781,2410,범양건영,64101,건물 건설업,24831982,24831982000
782,206400,베노홀딩스,105802,소프트웨어 개발 및 공급업,22457437,11228718500
783,19010,베뉴지,74701,종합 소매업,48200000,24100000000
784,177350,베셀,32902,특수 목적용 기계 제조업,11192368,5596184000
785,299910,베스파,105802,소프트웨어 개발 및 공급업,8071688,4035844000
786,96300,베트남개발1,116402,신탁업 및 집합투자업,137680211,57825688620
787,7210,벽산,32309,기타 비금속 광물제품 제조업,68560000,34280000000
788,225530,보광산업,32309,기타 비금속 광물제품 제조업,36338727,18169363500
789,250000,보라티알,74603,음·식료품 및 담배 도매업,6750733,3375366500
790,2760,보락,32004,기타 화학제품 제조업,59900000,11980000000
791,3850,보령제약,32102,의약품 제조업,52120000,26060000000
792,6910,보성파워텍,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업",46073059,23036529500
793,890,보해양조,31101,알코올음료 제조업,127449373,63724686500
794,226340,본느,32004,기타 화학제품 제조업,30699596,3069959600
795,206950,볼빅,33303,운동 및 경기용구 제조업,4183333,2091666500
796,3000,부광약품,32102,의약품 제조업,64837978,33289457500
797,1270,부국증권,116601,금융 지원 서비스업,10369886,66849430000
798,26940,부국철강,32401,1차 철강 제조업,20000000,10000000000
799,14470,부방,116409,기타 금융업,60052260,30026130000
800,15350,부산가스,43502,연료용 가스 제조 및 배관공급업,11000000,55000000000
801,11390,부산산업,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업",1056000,5280000000
802,5030,부산주공,33003,자동차 신품 부품 제조업,56849517,28424758500
803,8470,부스타,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업",8404800,4202400000
804,100120,뷰웍스,32701,의료용 기기 제조업,10001865,5000932500
805,337930,브랜드엑스코퍼레이션,106309,기타 정보 서비스업,19062968,9531484000
806,66980,브레인콘텐츠,106309,기타 정보 서비스업,179598196,89799098000
807,64480,브리지텍,105802,소프트웨어 개발 및 공급업,11952500,6176250000
808,288330,브릿지바이오테라퓨틱스,32101,기초 의약물질 및 생물학적 제제 제조업,19181174,9590587000
809,251630,브이원텍,32902,특수 목적용 기계 제조업,15050580,7525290000
810,18290,브이티지엠피,32603,컴퓨터 및 주변장치 제조업,34159521,17079760500
811,263920,블러썸엠앤씨,33309,그외 기타 제품 제조업,13723172,6861586000
812,33560,블루콤,32605,영상 및 음향기기 제조업,18088047,9600000000
813,126340,비나텍,32802,일차전지 및 축전지 제조업,4901300,2450650000
814,121800,비덴트,32604,통신 및 방송 장비 제조업,45673805,22836902500
815,148140,비디아이,32901,일반 목적용 기계 제조업,20379605,10189802500
816,82800,비보존 헬스케어,32601,반도체 제조업,152822026,76411013000
817,318410,비비씨,33309,그외 기타 제품 제조업,5403683,2701841500
818,2070,비비안,31401,봉제의복 제조업,26735890,13367945000
819,100220,비상교육,105801,"서적, 잡지 및 기타 인쇄물 출판업",12996741,6498370500
820,200780,비씨월드제약,32102,의약품 제조업,8892384,1778476800
821,141000,비아트론,32902,특수 목적용 기계 제조업,12114710,6057355000
822,90460,비에이치,32602,전자부품 제조업,33472688,16736344000
823,83650,비에이치아이,32901,일반 목적용 기계 제조업,26000000,13000000000
824,215050,비엔디생활건강,32004,기타 화학제품 제조업,2121666,212166600
825,86670,비엠티,32901,일반 목적용 기계 제조업,8146529,4073264500
826,335890,비올,32701,의료용 기기 제조업,54740000,5474000000
827,138580,비즈니스온,105802,소프트웨어 개발 및 공급업,11376440,5688220000
828,82920,비츠로셀,32802,일차전지 및 축전지 제조업,21539152,10769576000
829,54220,비츠로시스,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",21559978,10779989000
830,42370,비츠로테크,116409,기타 금융업,23315411,11657705500
831,30790,비케이탑스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",13127849,6563924500
832,32850,비트컴퓨터,105802,소프트웨어 개발 및 공급업,16623293,8311646500
833,148780,비플라이소프트,105802,소프트웨어 개발 및 공급업,4745720,2372860000
834,238200,비피도,31007,기타 식품 제조업,4090000,2045000000
835,93190,빅솔론,32603,컴퓨터 및 주변장치 제조업,19238905,9619452500
836,65450,빅텍,32702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",28652800,5730560000
837,210120,빅텐츠,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",1895000,947500000
838,352820,빅히트,105902,오디오물 출판 및 원판 녹음업,35623760,17811880000
839,5180,빙그레,31005,낙농제품 및 식용빙과류 제조업,9851241,49756205000
840,72950,빛샘전자,32602,전자부품 제조업,6000000,3000000000
841,266170,뿌리깊은나무들,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",5603977,2801988500
842,143240,사람인에이치알,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",11659263,5829631500
843,3960,사조대림,31002,수산물 가공 및 저장 처리업,9164467,45822335000
844,8040,사조동아원,31006,"곡물가공품, 전분 및 전분제품 제조업",141144600,70572300000
845,7160,사조산업,10301,어로 어업,5000000,25000000000
846,14710,사조씨푸드,31002,수산물 가공 및 저장 처리업,17218543,17218543000
847,6090,사조오양,31002,수산물 가공 및 저장 처리업,9422739,47113695000
848,100090,삼강엠앤티,32401,1차 철강 제조업,35528466,17764233000
849,122350,삼기,33003,자동차 신품 부품 제조업,38339428,3833942800
850,14970,삼륭물산,31702,"골판지, 종이 상자 및 종이용기 제조업",15125000,7562500000
851,18310,삼목에스폼,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업",14700000,7350000000
852,53700,삼보모터스,33003,자동차 신품 부품 제조업,17084542,8542271000
853,9620,삼보산업,32402,1차 비철금속 제조업,38092246,3809224600
854,23600,삼보판지,31701,"펄프, 종이 및 판지 제조업",16170000,8085000000
855,111870,삼본전자,32605,영상 및 음향기기 제조업,96521825,48260912500
856,1470,삼부토건,64102,토목 건설업,137546368,1.37546E+11
857,6400,삼성SDI,32802,일차전지 및 축전지 제조업,68764530,3.56712E+11
858,6660,삼성공조,33003,자동차 신품 부품 제조업,8126314,4063157000
859,28260,삼성물산,74607,기타 전문 도매업,186887081,18851450600
860,207940,삼성바이오로직스,32101,기초 의약물질 및 생물학적 제제 제조업,66165000,1.65413E+11
861,32830,삼성생명,116501,보험업,200000000,1E+11
862,291230,삼성스팩2호,116601,금융 지원 서비스업,7550000,755000000
863,18260,삼성에스디에스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",77377800,38688900000
864,28050,삼성엔지니어링,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업",196000000,9.8E+11
865,9150,삼성전기,32602,전자부품 제조업,74693696,3.88003E+11
866,5930,삼성전자,32604,통신 및 방송 장비 제조업,5969782550,8.97514E+11
867,1360,삼성제약,32102,의약품 제조업,61549713,30774856500
868,10140,삼성중공업,33101,선박 및 보트 건조업,630000000,3.15057E+12
869,16360,삼성증권,116601,금융 지원 서비스업,89300000,4.58478E+11
870,68290,삼성출판사,105801,"서적, 잡지 및 기타 인쇄물 출판업",10000000,5000000000
871,29780,삼성카드,116409,기타 금융업,115858891,6.14794E+11
872,810,삼성화재,116501,보험업,47374837,26473418500
873,6110,삼아알미늄,32402,1차 비철금속 제조업,11000000,5500000000
874,9300,삼아제약,32102,의약품 제조업,6370000,6370000000
875,145990,삼양사,31007,기타 식품 제조업,10313449,53417595000
876,3230,삼양식품,31007,기타 식품 제조업,7533015,37665075000
877,225190,삼양옵틱스,32703,사진장비 및 광학기기 제조업,10092700,5046350000
878,2170,삼양통상,31501,"가죽, 가방 및 유사제품 제조업",3000000,15000000000
879,272550,삼양패키징,32202,플라스틱제품 제조업,14209804,71049020000
880,70,삼양홀딩스,116409,기타 금융업,8564271,44341645000
881,2810,삼영무역,74607,기타 전문 도매업,18466948,9233474000
882,54540,삼영엠텍,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업",13000000,6772413500
883,65570,삼영이엔씨,32604,통신 및 방송 장비 제조업,9597602,4798801000
884,5680,삼영전자,32602,전자부품 제조업,20000000,10000000000
885,3720,삼영화학,32202,플라스틱제품 제조업,34000000,17000000000
886,23000,삼원강재,33003,자동차 신품 부품 제조업,40000000,20000000000
887,4380,삼익THK,32901,일반 목적용 기계 제조업,21000000,10500000000
888,2450,삼익악기,33302,악기 제조업,90530915,45265457500
889,32280,삼일,84903,도로 화물 운송업,16213590,16213590000
890,2290,삼일기업공사,64101,건물 건설업,12400000,6200000000
891,4440,삼일씨엔에스,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업",12731947,12731947000
892,520,삼일제약,32102,의약품 제조업,6694896,6694896000
893,9770,삼정펄프,31701,"펄프, 종이 및 판지 제조업",2499971,12499855000
894,37460,삼지전자,32604,통신 및 방송 장비 제조업,16318522,8309261000
895,32750,삼진,32604,통신 및 방송 장비 제조업,6000000,3000000000
896,54090,삼진엘앤디,33309,그외 기타 제품 제조업,24959232,12479616000
897,5500,삼진제약,32102,의약품 제조업,13900000,13900000000
898,250,삼천당제약,32102,의약품 제조업,22768041,11384020500
899,4690,삼천리,43502,연료용 가스 제조 및 배관공급업,4055025,20275125000
900,24950,삼천리자전거,74604,생활용품 도매업,13273577,6636788500
901,38500,삼표시멘트,32309,기타 비금속 광물제품 제조업,107357173,53678586500
902,17480,삼현철강,32401,1차 철강 제조업,15702890,8551445000
903,10960,삼호개발,64201,기반조성 및 시설물 축조관련 전문공사업,25000000,12500000000
904,46390,삼화네트웍스,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",43172933,8634586600
905,4450,삼화왕관,32509,기타 금속 가공제품 제조업,2154379,10771895000
906,9470,삼화전기,32602,전자부품 제조업,6613820,6613820000
907,11230,삼화전자,32605,영상 및 음향기기 제조업,10457940,10457940000
908,1820,삼화콘덴서,32602,전자부품 제조업,10395000,10395000000
909,390,삼화페인트,32004,기타 화학제품 제조업,26814737,13407368500
910,27580,상보,32202,플라스틱제품 제조업,46818211,23409105500
911,38540,상상인,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",55328313,57187237000
912,307870,상상인이안1호스팩,116601,금융 지원 서비스업,4750000,475000000
913,329560,상상인이안제2호스팩,116601,금융 지원 서비스업,3850000,385000000
914,101000,상상인인더스트리,32902,특수 목적용 기계 제조업,63320603,31660301500
915,1290,상상인증권,116601,금융 지원 서비스업,96108437,97411913000
916,41650,상신브레이크,33003,자동차 신품 부품 제조업,21471450,10735725000
917,91580,상신이디피,32802,일차전지 및 축전지 제조업,13333226,6666613000
918,263810,상신전자,32602,전자부품 제조업,14244718,7122359000
919,89980,상아프론테크,32202,플라스틱제품 제조업,15724765,7862382500
920,42940,상지카일룸,64101,건물 건설업,57609497,28804748500
921,42600,새로닉스,32602,전자부품 제조업,12423574,6211787000
922,75180,새론오토모티브,33003,자동차 신품 부품 제조업,19200000,9600000000
923,263540,샘코,33103,"항공기,우주선 및 부품 제조업",17914945,8957472500
924,7540,샘표,116409,기타 금융업,2875800,2875800000
925,248170,샘표식품,31007,기타 식품 제조업,4568286,2284143000
926,294630,서남,32809,기타 전기장비 제조업,20365160,10182580000
927,38070,서린바이오,74607,기타 전문 도매업,8000676,4000338000
928,6730,서부T&D,95501,일반 및 생활 숙박시설 운영업,58140444,29070222000
929,79650,서산,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업",20000000,2000000000
930,100660,서암기계공업,32901,일반 목적용 기계 제조업,12600000,6300000000
931,7860,서연,116409,기타 금융업,23479844,11739922000
932,200880,서연이화,33003,자동차 신품 부품 제조업,27028437,13514218500
933,19770,서연탑메탈,32902,특수 목적용 기계 제조업,11650000,5825000000
934,17390,서울가스,43502,연료용 가스 제조 및 배관공급업,5000000,35000000000
935,43710,서울리거,74607,기타 전문 도매업,36458459,18229229500
936,92190,서울바이오시스,32601,반도체 제조업,38223653,19111826500
937,46890,서울반도체,32601,반도체 제조업,58305400,29152700000
938,4410,서울식품,31007,기타 식품 제조업,364228163,36645266300
939,63170,서울옥션,74601,상품 중개업,16917500,8458750000
940,27040,서울전자통신,74605,기계장비 및 관련 물품 도매업,69588847,34794423500
941,18680,서울제약,32102,의약품 제조업,8524523,4262261500
942,21050,서원,32403,금속 주조업,47474590,23737295000
943,93920,서원인텍,32604,통신 및 방송 장비 제조업,18600000,9300000000
944,189860,서전기전,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",9698780,4849390000
945,178320,서진시스템,32604,통신 및 방송 장비 제조업,18100666,9050333000
946,122690,서진오토모티브,33003,자동차 신품 부품 제조업,19541246,9770623000
947,140070,서플러스글로벌,74605,기계장비 및 관련 물품 도매업,36988000,3698800000
948,11370,서한,64101,건물 건설업,100894865,50447432500
949,65710,서호전기,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",5150000,2575000000
950,8490,서흥,32004,기타 화학제품 제조업,11569113,6084556500
951,35890,서희건설,64101,건물 건설업,229808457,1.14904E+11
952,357550,석경에이티,32001,기초 화학물질 제조업,5455000,2727500000
953,3100,선광,85209,기타 운송관련 서비스업,6600000,6600000000
954,123420,선데이토즈,105802,소프트웨어 개발 및 공급업,9569842,4784921000
955,7610,선도전기,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",18000000,9000000000
956,67370,선바이오,32102,의약품 제조업,11501811,5750905500
957,171090,선익시스템,32902,특수 목적용 기계 제조업,8999295,4499647500
958,136490,선진,31008,동물용 사료 및 조제식품 제조업,23779604,11889802000
959,86710,선진뷰티사이언스,32004,기타 화학제품 제조업,6115650,3057825000
960,2820,선창산업,31602,나무제품 제조업,12607989,12607989000
961,14620,성광벤드,32401,1차 철강 제조업,28600000,14300000000
962,37350,성도이엔지,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업",15470000,7735000000
963,14910,성문전자,32602,전자부품 제조업,19486857,10043428500
964,3080,성보화학,32003,"비료, 농약 및 살균, 살충제 제조업",20020000,10010000000
965,4980,성신양회,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업",24516073,1.28509E+11
966,11300,성안,31302,직물직조 및 직물제품 제조업,56857860,28428930000
