번호,종목코드,종목명,업종코드,업종명,상장주식수,자본금
352,41140,넥슨지티,105802,소프트웨어 개발 및 공급업,35373322,17686661000
353,217270,넵튠,105802,소프트웨어 개발 및 공급업,23707586,11853793000
354,225570,넷게임즈,105802,소프트웨어 개발 및 공급업,28838832,14419416000
355,251270,넷마블,105802,소프트웨어 개발 및 공급업,85877956,8587795600
356,317860,노드메이슨,32004,기타 화학제품 제조업,3758258,1879129000
357,104620,노랑풍선,147502,여행사 및 기타 여행보조 서비스업,4765650,2382825000
358,90350,노루페인트,32004,기타 화학제품 제조업,20000000,10231563000
359,320,노루홀딩스,116409,기타 금융업,13291151,8500200500
360,194700,노바렉스,31007,기타 식품 제조업,9003740,4501870000
361,285490,노바텍,33309,그외 기타 제품 제조업,10042676,5021338000
362,229500,노브메타파마,137001,자연과학 및 공학 연구개발업,8962867,4481433500
363,278650,노터스,137001,자연과학 및 공학 연구개발업,7619368,761936800
364,6280,녹십자,32102,의약품 제조업,11686538,58432690000
365,144510,녹십자랩셀,137309,"그외 기타 전문, 과학 및 기술 서비스업",10554054,5277027000
366,31390,녹십자셀,32101,기초 의약물질 및 생물학적 제제 제조업,12665488,6332744000
367,142280,녹십자엠에스,32103,의료용품 및 기타 의약 관련제품 제조업,21117283,10558641500
368,234690,녹십자웰빙,32102,의약품 제조업,17752276,8876138000
369,5250,녹십자홀딩스,137105,회사 본부 및 경영 컨설팅 서비스업,47028210,25744900000
370,65560,녹원씨엔아이,31801,인쇄 및 인쇄관련 산업,17260625,8720892000
371,4370,농심,31007,기타 식품 제조업,6082642,30413210000
372,72710,농심홀딩스,116409,기타 금융업,4637790,23188950000
373,54050,농우바이오,10101,작물 재배업,16030561,8015280500
374,40160,누리텔레콤,105802,소프트웨어 개발 및 공급업,12055535,6027767500
375,69140,누리플랜,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업",7102743,3551371500
376,126870,뉴로스,32901,일반 목적용 기계 제조업,30904341,15452170500
377,60260,뉴보텍,32202,플라스틱제품 제조업,33433750,16716875000
378,12340,뉴인텍,32602,전자부품 제조업,30044502,15022251000
379,214870,뉴지랩,32604,통신 및 방송 장비 제조업,29903344,14951672000
380,270870,뉴트리,31007,기타 식품 제조업,9113224,4556612000
381,144960,뉴파워프라즈마,32902,특수 목적용 기계 제조업,43692624,4369262400
382,900100,뉴프라이드,74502,자동차 부품 및 내장품 판매업,123580314,370741
383,85670,뉴프렉스,32602,전자부품 제조업,22044315,11022157500
384,119860,다나와,105802,소프트웨어 개발 및 공급업,13074822,6537411000
385,64260,다날,105802,소프트웨어 개발 및 공급업,68949040,34474520000
386,93640,다믈멀티미디어,32601,반도체 제조업,13140876,6570438000
387,39560,다산네트웍스,32604,통신 및 방송 장비 제조업,35090068,18773496500
388,58730,다스코,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업",15400000,8000000000
389,23590,다우기술,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",44866617,22433308500
390,32190,다우데이타,74605,기계장비 및 관련 물품 도매업,38300000,19150000000
391,323350,다원넥스뷰,32703,사진장비 및 광학기기 제조업,730000,365000000
392,68240,다원시스,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",27064407,13532203500
393,86080,다이노나,137001,자연과학 및 공학 연구개발업,32931086,16465543000
394,271850,다이오진,137001,자연과학 및 공학 연구개발업,3123000,312300000
395,343090,단디바이오,32103,의료용품 및 기타 의약 관련제품 제조업,5458325,5458325000
396,19680,대교,168501,초등 교육기관,84702850,52064920000
397,6370,대구백화점,74701,종합 소매업,10821611,54108055000
398,8060,대덕,116409,기타 금융업,33890150,17551253500
399,353200,대덕전자,32602,전자부품 제조업,49416925,25756222000
400,178600,대동고려삼,31007,기타 식품 제조업,4449600,2224800000
401,490,대동공업,32902,특수 목적용 기계 제조업,23728210,23728210000
402,20400,대동금속,32403,금속 주조업,2875892,2875892000
403,8830,대동기어,32902,특수 목적용 기계 제조업,8987520,4493760000
404,48470,대동스틸,32401,1차 철강 제조업,10000000,5000000000
405,8110,대동전자,32604,통신 및 방송 장비 제조업,10490447,5245223500
406,4780,대륙제관,32509,기타 금속 가공제품 제조업,15903199,7951599500
407,5750,대림B&Co,32302,"내화, 비내화 요업제품 제조업",16672240,16672240000
408,1880,대림건설,64101,건물 건설업,22053284,1.10266E+11
409,17650,대림제지,31709,기타 종이 및 판지 제품 제조업,9000000,4500000000
410,6570,대림통상,32509,기타 금속 가공제품 제조업,15225000,16425000000
411,7720,대명소노시즌,74608,상품 종합 도매업,100800450,50400225000
412,317850,대모,32902,특수 목적용 기계 제조업,8324420,4162210000
413,290670,대보마그네틱,32809,기타 전기장비 제조업,7416850,3708425000
414,78140,대봉엘에스,32102,의약품 제조업,11086579,5543289500
415,1680,대상,31007,기타 식품 제조업,34648025,36018248000
416,84690,대상홀딩스,116409,기타 금융업,36212538,37126020000
417,36480,대성미생물,32102,의약품 제조업,3800000,1900000000
418,128820,대성산업,74707,연료 소매업,45235478,2.26177E+11
419,117580,대성에너지,43502,연료용 가스 제조 및 배관공급업,27500000,27500000000
420,25440,대성엘텍,32605,영상 및 음향기기 제조업,100001343,50000671500
421,27830,대성창투,116402,신탁업 및 집합투자업,40000000,20000000000
422,104040,대성파인텍,33003,자동차 신품 부품 제조업,31301281,3130128100
423,16710,대성홀딩스,137105,회사 본부 및 경영 컨설팅 서비스업,16089459,16089459000
424,332290,대신밸런스제7호스팩,116601,금융 지원 서비스업,5205000,520500000
425,336570,대신밸런스제8호스팩,116601,금융 지원 서비스업,5610000,561000000
426,369370,대신밸런스제9호스팩,116601,금융 지원 서비스업,4210000,421000000
427,20180,대신정보통신,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",38428915,19214457500
428,3540,대신증권,116601,금융 지원 서비스업,50773400,4.34867E+11
429,45390,대아티아이,32809,기타 전기장비 제조업,71151522,7115152200
430,9190,대양금속,32401,1차 철강 제조업,29565939,14782969500
431,108380,대양전기공업,33101,선박 및 보트 건조업,9567333,4783666500
432,6580,대양제지,31701,"펄프, 종이 및 판지 제조업",26850000,13425000000
433,14160,대영포장,31702,"골판지, 종이 상자 및 종이용기 제조업",108394549,54197274500
434,47040,대우건설,64101,건물 건설업,415622638,2.07811E+12
435,9320,대우부품,33003,자동차 신품 부품 제조업,47646375,23823187500
436,42660,대우조선해양,33101,선박 및 보트 건조업,107290669,5.41453E+11
437,3090,대웅,116409,기타 금융업,58141980,29070990000
438,69620,대웅제약,32102,의약품 제조업,11586575,28966437500
439,7680,대원,64101,건물 건설업,12099998,6049999000
440,430,대원강업,33003,자동차 신품 부품 제조업,62000000,31000000000
441,48910,대원미디어,74607,기타 전문 도매업,12578946,6319473000
442,5710,대원산업,33003,자동차 신품 부품 제조업,20037600,10018800000
443,6340,대원전선,32803,절연선 및 케이블 제조업,71016967,36819083500
444,3220,대원제약,32102,의약품 제조업,20243603,10121801500
445,24890,대원화성,32202,플라스틱제품 제조업,41249152,20624576000
446,290380,대유,32003,"비료, 농약 및 살균, 살충제 제조업",9052400,4526200000
447,2880,대유에이텍,33003,자동차 신품 부품 제조업,106915987,53457993500
448,290120,대유에이피,33003,자동차 신품 부품 제조업,10884299,5442149500
449,300,대유플러스,32604,통신 및 방송 장비 제조업,118955127,59477563500
450,120240,대정화금,32001,기초 화학물질 제조업,7190391,3595195500
451,3310,대주산업,31008,동물용 사료 및 조제식품 제조업,35392350,18696175000
452,114920,대주이엔티,32401,1차 철강 제조업,3469500,1734750000
453,78600,대주전자재료,32602,전자부품 제조업,15387644,7693822000
454,12800,대창,32402,1차 비철금속 제조업,91140499,45570249500
455,15230,대창단조,33003,자동차 신품 부품 제조업,14286115,14286115000
456,96350,대창솔루션,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업",163761009,16376100900
457,140520,대창스틸,32401,1차 철강 제조업,20000000,10000000000
458,131220,대한과학,74605,기계장비 및 관련 물품 도매업,7454490,3727245000
459,10170,대한광통신,32803,절연선 및 케이블 제조업,73741625,36870812500
460,60900,대한그린파워,32004,기타 화학제품 제조업,153287035,15328703500
461,54670,대한뉴팜,32102,의약품 제조업,14354920,7177460000
462,1070,대한방직,31302,직물직조 및 직물제품 제조업,5300000,5300000000
463,23910,대한약품,32102,의약품 제조업,6000000,3000000000
464,6650,대한유화,32001,기초 화학물질 제조업,6500000,41000000000
465,1440,대한전선,32803,절연선 및 케이블 제조업,856473009,4.28237E+11
466,84010,대한제강,32401,1차 철강 제조업,24646734,24646734000
467,1790,대한제당,31006,"곡물가공품, 전분 및 전분제품 제조업",8969658,24044835000
468,1130,대한제분,31006,"곡물가공품, 전분 및 전분제품 제조업",1690000,8450000000
469,3490,대한항공,85101,항공 여객 운송업,174209713,8.76603E+11
470,5880,대한해운,85001,해상 운송업,244271090,1.22136E+11
471,3830,대한화섬,32005,화학섬유 제조업,1328000,6640000000
472,16090,대현,31401,봉제의복 제조업,44282310,26906155000
473,69460,대호에이엘,32402,1차 비철금속 제조업,27134839,13567419500
474,21040,대호피앤씨,32401,1차 철강 제조업,73112826,38677646000
475,67080,대화제약,32102,의약품 제조업,18616650,9308325000
476,298540,더네이쳐홀딩스,74704,"섬유, 의복, 신발 및 가죽제품 소매업",7272328,3636164000
477,192080,더블유게임즈,105802,소프트웨어 개발 및 공급업,18374502,9187251000
478,299170,더블유에스아이,74604,생활용품 도매업,29237963,2923796300
479,35290,더블유에프엠,105801,"서적, 잡지 및 기타 인쇄물 출판업",36223910,18111955000
480,12510,더존비즈온,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",30190221,15095110500
481,302920,더콘텐츠온,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",4552359,2276179500
482,213420,덕산네오룩스,32602,전자부품 제조업,24010012,4802002400
483,317330,덕산테코피아,32004,기타 화학제품 제조업,18377428,9188714000
484,77360,덕산하이메탈,32601,반도체 제조업,22718501,4543700200
485,4830,덕성,32202,플라스틱제품 제조업,15680000,8536000000
486,90410,덕신하우징,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업",46084095,4608409500
487,24900,덕양산업,33003,자동차 신품 부품 제조업,32564980,16282490000
488,263600,덕우전자,32602,전자부품 제조업,15930310,8037610500
489,194480,데브시스터즈,105802,소프트웨어 개발 및 공급업,11224370,5612185000
490,348840,데이드림엔터,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",842500,421250000
491,263800,데이타솔루션,74605,기계장비 및 관련 물품 도매업,15878580,7939290000
492,199150,데이터스트림즈,105802,소프트웨어 개발 및 공급업,4097598,2048799000
493,206560,덱스터,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",25348136,12674068000
494,261200,덴티스,32701,의료용 기기 제조업,73789453,7378945300
495,145720,덴티움,32701,의료용 기기 제조업,11068830,6184415000
496,227420,도부마스크,74607,기타 전문 도매업,8615603,4307801500
497,67990,도이치모터스,74501,자동차 판매업,29064418,14532209000
498,2150,도화엔지니어링,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업",33720000,16860000000
499,6620,동구바이오제약,32102,의약품 제조업,9604000,4802000000
500,100130,동국S&C,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업",57143000,28571500000
501,5160,동국산업,32401,1차 철강 제조업,54244482,54244482000
502,75970,동국알앤에스,32309,기타 비금속 광물제품 제조업,18400000,18400000000
503,1230,동국제강,32401,1차 철강 제조업,95432737,5.89228E+11
504,86450,동국제약,32102,의약품 제조업,44460000,22230000000
505,23450,동남합성,32001,기초 화학물질 제조업,3610000,3125564000
506,4140,동방,85209,기타 운송관련 서비스업,39776581,39776581000
507,99410,동방선기,33101,선박 및 보트 건조업,13541002,6770501000
508,7590,동방아그로,32003,"비료, 농약 및 살균, 살충제 제조업",13617577,6808788500
509,5960,동부건설,64102,토목 건설업,22706407,1.14661E+11
510,26960,동서,74603,음·식료품 및 담배 도매업,99700000,49850000000
511,2210,동성제약,32102,의약품 제조업,26100970,26100970000
512,102260,동성코퍼레이션,137105,회사 본부 및 경영 컨설팅 서비스업,43993012,43993012000
513,33500,동성화인텍,32001,기초 화학물질 제조업,27493533,14076766500
